"index","species","status","error"
1,"Aralia racemosa",0,NA
2,"Rhamnus cathartica",1,NA
3,"Rubus odoratus",0,NA
4,"Acer spicatum",0,NA
5,"Solidago flexicaulis",0,NA
6,"Fagus grandifolia",0,NA
7,"Actaea pachypoda",0,NA
8,"Lobelia cardinalis",0,NA
9,"Caulophyllum thalictroides",0,NA
10,"Trillium grandiflorum",0,NA
11,"Persicaria virginiana",0,NA
12,"Erythronium americanum",0,NA
13,"Lapsana communis",1,NA
14,"Maianthemum racemosum",0,NA
15,"Sanguinaria canadensis",0,NA
16,"Tussilago farfara",1,NA
17,"Amphicarpaea bracteata",0,NA
18,"Solanum dulcamara",1,NA
19,"Tanacetum vulgare",1,NA
20,"Hemerocallis fulva",1,NA
21,"Sonchus arvensis",1,NA
22,"Leonurus cardiaca",1,NA
23,"Menispermum canadense",0,NA
24,"Onoclea sensibilis",0,NA
25,"Rhus typhina",0,NA
26,"Apocynum androsaemifolium",0,NA
27,"Ranunculus abortivus",0,NA
28,"Chelidonium majus",1,NA
29,"Lysimachia ciliata",0,NA
30,"Rosa rugosa",NA,"No matching species"
31,"Matricaria discoidea",1,NA
32,"Apocynum cannabinum",0,NA
33,"Lysimachia nummularia",1,NA
34,"Quercus macrocarpa",0,NA
35,"Viola pubescens",0,NA
36,"Allium tricoccum",0,NA
37,"Celastrus scandens",0,NA
38,"Eupatorium perfoliatum",0,NA
39,"Symphyotrichum novae-angliae",0,NA
40,"Cardamine concatenata",0,NA
41,"Parthenocissus quinquefolia",1,NA
42,"Rubus occidentalis",0,NA
43,"Tilia americana",0,NA
44,"Adiantum pedatum",0,NA
45,"Rumex sanguineus",1,NA
46,"Laportea canadensis",0,NA
47,"Astragalus canadensis",0,NA
48,"Boehmeria cylindrica",0,NA
49,"Actaea rubra",0,NA
50,"Atriplex hortensis",1,NA
51,"Convolvulus arvensis",1,NA
52,"Iris pseudacorus",1,NA
53,"Tragopogon pratensis",1,NA
54,"Ajuga reptans",1,NA
55,"Physocarpus opulifolius",0,NA
56,"Asclepias incarnata",0,NA
57,"Saponaria officinalis",1,NA
58,"Hemerocallis lilioasphodelus",1,NA
59,"Stachys byzantina",1,NA
60,"Campanula rapunculoides",1,NA
61,"Melissa officinalis",1,NA
62,"Sorbaria sorbifolia",1,NA
63,"Ribes rubrum",1,NA
64,"Filipendula ulmaria",1,NA
65,"Syringa vulgaris",1,NA
66,"Echinocystis lobata",0,NA
67,"Sedum sarmentosum",1,NA
68,"Lysimachia punctata",1,NA
69,"Vitis riparia",0,NA
70,"Convallaria majalis",1,NA
71,"Prunella vulgaris",0,NA
72,"Pilea pumila",0,NA
73,"Erechtites hieraciifolius",0,NA
74,"Mimulus ringens",0,NA
75,"Silene vulgaris",1,NA
76,"Erysimum cheiranthoides",1,NA
77,"Nepeta cataria",1,NA
78,"Lupinus polyphyllus",1,NA
79,"Salvia officinalis",1,NA
80,"Cosmos bipinnatus",1,NA
81,"Phragmites australis",2,NA
82,"Smilax herbacea",0,NA
83,"Cyperus esculentus",0,NA
84,"Asclepias syriaca",0,NA
85,"Philadelphus coronarius",1,NA
86,"Reynoutria japonica",1,NA
87,"Campanula glomerata",1,NA
88,"Monarda fistulosa",0,NA
89,"Phleum pratense",1,NA
90,"Symphoricarpos albus",0,NA
91,"Marrubium vulgare",1,NA
92,"Prunus virginiana",0,NA
93,"Amaranthus retroflexus",1,NA
94,"Arctium tomentosum",1,NA
95,"Leymus arenarius",1,NA
96,"Moehringia lateriflora",0,NA
97,"Taxus canadensis",0,NA
98,"Carex plantaginea",0,NA
99,"Argentina anserina",NA,"No matching species"
100,"Spinulum annotinum",0,NA
101,"Tiarella cordifolia",NA,"No data for Canada"
102,"Symphyotrichum cordifolium",0,NA
103,"Polygonum aviculare",0,NA
104,"Lycopus europaeus",1,NA
105,"Hordeum jubatum",0,NA
106,"Chelone glabra",0,NA
107,"Dianthus barbatus",1,NA
108,"Papaver somniferum",1,NA
109,"Euphorbia cyparissias",1,NA
110,"Cirsium arvense",1,NA
111,"Urtica dioica",0,NA
112,"Ambrosia trifida",0,NA
113,"Coreopsis tinctoria",1,NA
114,"Potentilla norvegica",0,NA
115,"Berberis vulgaris",1,NA
116,"Potentilla recta",1,NA
117,"Ambrosia artemisiifolia",1,NA
118,"Dasiphora fruticosa",0,NA
119,"Euphorbia peplus",1,NA
120,"Sicyos angulatus",1,NA
121,"Phalaris arundinacea",0,NA
122,"Vaccinium myrtilloides",0,NA
123,"Rudbeckia triloba",1,NA
124,"Fagopyrum esculentum",1,NA
125,"Rudbeckia laciniata",0,NA
126,"Artemisia vulgaris",1,NA
127,"Sorbus aucuparia",1,NA
128,"Ribes aureum",1,NA
129,"Pontederia cordata",0,NA
130,"Lobularia maritima",1,NA
131,"Physostegia virginiana",0,NA
132,"Sisyrinchium angustifolium",0,NA
133,"Aronia melanocarpa",0,NA
134,"Euonymus europaeus",1,NA
135,"Dianthus deltoides",1,NA
136,"Portulaca oleracea",1,NA
137,"Humulus lupulus",NA,"No matching species"
138,"Silene latifolia",1,NA
139,"Uvularia grandiflora",0,NA
140,"Helianthus tuberosus",1,NA
141,"Maianthemum stellatum",0,NA
142,"Artemisia absinthium",1,NA
143,"Acer saccharinum",0,NA
144,"Tragopogon dubius",1,NA
145,"Epipactis helleborine",1,NA
146,"Brassica oleracea",1,NA
147,"Cirsium vulgare",1,NA
148,"Rosa multiflora",1,NA
149,"Elaeagnus commutata",0,NA
150,"Verbena urticifolia",0,NA
151,"Althaea officinalis",1,NA
152,"Aquilegia vulgaris",1,NA
153,"Viola canadensis",0,NA
154,"Senecio vulgaris",1,NA
155,"Polystichum acrostichoides",0,NA
156,"Thlaspi arvense",1,NA
157,"Euphorbia helioscopia",1,NA
158,"Celtis occidentalis",0,NA
159,"Zea mays",1,NA
160,"Stellaria graminea",1,NA
161,"Spiraea alba",0,NA
162,"Artemisia biennis",1,NA
163,"Coreopsis verticillata",1,NA
164,"Verbena stricta",0,NA
165,"Ribes nigrum",1,NA
166,"Rumex acetosella",1,NA
167,"Kalmia angustifolia",0,NA
168,"Mentha arvensis",2,NA
169,"Cornus canadensis",NA,"No matching species"
170,"Solidago canadensis",0,NA
171,"Campanula trachelium",1,NA
172,"Monotropa uniflora",0,NA
173,"Macleaya cordata",1,NA
174,"Euphorbia lathyris",1,NA
175,"Lilium martagon",1,NA
176,"Oxybasis glauca",1,NA
177,"Phedimus aizoon",1,NA
178,"Thuja occidentalis",0,NA
179,"Cypripedium reginae",0,NA
180,"Amaranthus blitum",1,NA
181,"Parnassia palustris",0,NA
182,"Comptonia peregrina",0,NA
183,"Podophyllum peltatum",0,NA
184,"Inula helenium",1,NA
185,"Teucrium canadense",0,NA
186,"Aralia nudicaulis",0,NA
187,"Cephalanthus occidentalis",0,NA
188,"Verbena hastata",0,NA
189,"Desmodium canadense",0,NA
190,"Euphorbia marginata",1,NA
191,"Mycelis muralis",1,NA
192,"Sedum acre",1,NA
193,"Bidens frondosa",0,NA
194,"Fragaria vesca",0,NA
195,"Ulmus pumila",1,NA
196,"Lilium lancifolium",1,NA
197,"Claytonia caroliniana",0,NA
198,"Geranium pratense",1,NA
199,"Alcea rosea",1,NA
200,"Veratrum viride",0,NA
201,"Trillium undulatum",NA,"No matching species"
202,"Parietaria pensylvanica",0,NA
203,"Asarum canadense",0,NA
204,"Commelina communis",1,NA
205,"Gypsophila elegans",1,NA
206,"Armoracia rusticana",1,NA
207,"Ribes uva-crispa",1,NA
208,"Clintonia borealis",0,NA
209,"Asclepias tuberosa",0,NA
210,"Carex grayi",0,NA
211,"Mitchella repens",0,NA
